game_id,msrp_price_x,switch_date_x,publisher_x,download_size_x,meta_critic_x,user_score_x,usk_rating_x,languages_x,platforms_x,hltb_main_story,hltb_main_plus_extra,hltb_completionist,avg_score,lang_count,plat_count,success,genres,offline_players,local_wireless,online_players,developer,publisher_y,meta_critic_y,user_score_y,opencritic_score,usk_rating_y,play_modes,languages_y,platforms_y,title
snowrunner,39.99,2021-05-18,Focus Entertainment,13.644,75.0,7.1,0.0,"English, Portuguese, Spanish, French, German, Italian, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 5, PlayStation 4, Xbox Series X|S, Xbox One, Steam",89.0,159.5,236.0,73.0,10,6,1,Simulation; Racing; Multiplayer,1,2 - 4,1 - 4,Saber Interactive,Focus Entertainment,75,7.1,80.0,0.0,"TV, Tabletop, Handheld","English, Portuguese, Spanish, French, German, Italian, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 5, PlayStation 4, Xbox Series X|S, Xbox One, Steam",SnowRunner
shakedown-hawaii,19.99,2019-05-07,Vblank Entertainment,0.1689453125,75.0,7.1,16.0,English,"Nintendo Switch, PlayStation 5, PlayStation 4, Steam",6.5,10.0,15.0,73.0,1,4,1,Action; Adventure; Arcade,1,,,Vblank Entertainment,Vblank Entertainment,75,7.1,74.0,16.0,"TV, Tabletop, Handheld",English,"Nintendo Switch, PlayStation 5, PlayStation 4, Steam",Shakedown: Hawaii
alwas-awakening,9.99,2018-09-27,Elden Pixels,0.2861328125,75.0,7.1,6.0,"English, French, Portuguese, Spanish, German, Italian, Russian","Nintendo Switch, PlayStation 4, Xbox One, Steam",7.5,9.5,10.5,73.0,7,4,1,Platformer; Adventure,1,,,Elden Pixels,Elden Pixels,75,7.1,72.0,6.0,"TV, Tabletop, Handheld","English, French, Portuguese, Spanish, German, Italian, Russian","Nintendo Switch, PlayStation 4, Xbox One, Steam",Alwa's Awakening
de-blob-2,29.99,2018-08-28,THQ Nordic,3.189,75.0,7.1,6.0,"Japanese, English, Spanish, French, German, Italian, Dutch, Portuguese, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 4, Xbox One, Steam",11.0,18.0,24.5,73.0,10,4,1,Platformer,1 - 2,,,Blue Tongue Entertainment; Blitworks,THQ Nordic,75,7.1,71.0,6.0,"TV, Tabletop, Handheld","Japanese, English, Spanish, French, German, Italian, Dutch, Portuguese, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 4, Xbox One, Steam",de Blob 2
not-a-hero-super-snazzy-edition,12.99,2018-08-02,Devolver Digital,0.6328125,75.0,7.1,16.0,"English, Spanish, French, German, Italian","Nintendo Switch, Xbox One",5.0,6.5,10.0,73.0,5,2,1,Action; Adventure; Arcade,1,,,Roll7,Devolver Digital,75,7.1,76.0,16.0,"TV, Tabletop, Handheld","English, Spanish, French, German, Italian","Nintendo Switch, Xbox One",NOT A HERO: SUPER SNAZZY EDITION
distrust,11.99,2019-07-16,Alawar Premium,0.4921875,75.0,7.1,6.0,"Japanese, English, German, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 4, Xbox One, Steam",5.0,13.5,37.5,73.0,7,4,1,Strategy; Adventure,1,,,Cheerdealers,Alawar Premium,75,7.1,69.0,6.0,"TV, Tabletop, Handheld","Japanese, English, German, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 4, Xbox One, Steam",Distrust
mario-tennis-aces,59.99,2018-06-22,Nintendo,2.432,75.0,7.0,0.0,"Japanese, English, Spanish, French, German, Italian, Dutch, Russian, Korean, Chinese (Simplified), Chinese (Traditional)",Nintendo Switch,6.0,8.0,9.5,72.5,11,1,1,Sports,1 - 4,2 - 4,2 - 4,Camelot,Nintendo,75,7.0,75.0,0.0,"TV, Tabletop, Handheld","Japanese, English, Spanish, French, German, Italian, Dutch, Russian, Korean, Chinese (Simplified), Chinese (Traditional)",Nintendo Switch,Mario Tennis Aces
figment,19.99,2018-06-28,Bedtime Digital,1.766,75.0,7.0,6.0,"Japanese, English, Spanish, French, German, Italian, Portuguese, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 4, Xbox Series X|S, Xbox One, Steam",5.0,5.5,6.5,72.5,11,5,1,Adventure; Action; Puzzle,1,,,Bedtime Digital Games,Bedtime Digital,75,7.0,79.0,6.0,"TV, Tabletop, Handheld","Japanese, English, Spanish, French, German, Italian, Portuguese, Russian, Korean, Chinese (Simplified), Chinese (Traditional)","Nintendo Switch, PlayStation 4, Xbox Series X|S, Xbox One, Steam",Figment
serial-cleaner,14.99,2017-11-30,Curve Digital,2.545,75.0,7.0,16.0,"English, Spanish, French, German, Portuguese, Russian","Nintendo Switch, PlayStation 4, Xbox One, Steam",5.0,6.5,9.0,72.5,6,4,1,Action,1,,,iFun4All,Curve Digital,75,7.0,73.0,16.0,"TV, Tabletop, Handheld","English, Spanish, French, German, Portuguese, Russian","Nintendo Switch, PlayStation 4, Xbox One, Steam",Serial Cleaner
the-inner-world-the-last-wind-monk,14.99,2018-08-03,Headup Games,1.834,75.0,7.0,6.0,"English, Spanish, French, German, Italian, Russian","Nintendo Switch, PlayStation 4, Xbox One, Steam",8.0,8.0,9.0,72.5,6,4,1,Adventure,1,,,Studio Fizbin,Headup Games,75,7.0,77.0,6.0,"TV, Tabletop, Handheld","English, Spanish, French, German, Italian, Russian","Nintendo Switch, PlayStation 4, Xbox One, Steam",The Inner World - The Last Wind Monk
